id:0;x:589;y:634;Con:6,101,196,237,249,
id:1;x:711;y:956;Con:62,255,
id:2;x:705;y:379;Con:47,56,287,297,
id:3;x:206;y:723;Con:131,171,215,251,
id:4;x:591;y:794;Con:14,48,115,250,
id:5;x:392;y:534;Con:54,55,138,
id:6;x:553;y:596;Con:0,78,196,226,
id:7;x:774;y:829;Con:100,284,
id:8;x:518;y:479;Con:49,98,103,226,
id:9;x:571;y:9;Con:285,
id:10;x:717;y:7;Con:285,
id:11;x:1610;y:469;Con:15,180,238,283,299,
id:12;x:1471;y:535;Con:89,266,
id:13;x:114;y:159;Con:134,156,165,258,
id:14;x:668;y:783;Con:4,43,115,
id:15;x:1657;y:417;Con:11,299,
id:16;x:959;y:880;Con:140,217,
id:17;x:1141;y:425;Con:39,58,
id:18;x:388;y:813;Con:19,60,73,
id:19;x:326;y:812;Con:18,199,
id:20;x:383;y:363;Con:45,106,288,293,
id:21;x:534;y:393;Con:103,289,
id:22;x:1340;y:322;Con:112,262,276,
id:23;x:967;y:101;Con:192,
id:24;x:1474;y:69;Con:160,218,
id:25;x:410;y:63;Con:50,197,240,
id:26;x:1267;y:728;Con:87,191,205,216,
id:27;x:1415;y:364;Con:208,224,230,262,
id:28;x:1273;y:417;Con:65,262,269,
id:29;x:1268;y:516;Con:124,
id:30;x:1519;y:859;Con:108,181,209,
id:31;x:1178;y:578;Con:116,
id:32;x:924;y:214;Con:296,
id:33;x:1658;y:628;Con:231,
id:34;x:28;y:327;Con:91,114,
id:35;x:1353;y:62;Con:61,225,
id:36;x:799;y:60;Con:187,202,
id:37;x:868;y:977;Con:217,244,252,
id:38;x:508;y:850;Con:48,51,250,
id:39;x:1097;y:368;Con:17,135,162,170,291,
id:40;x:1622;y:84;Con:113,133,241,
id:41;x:156;y:246;Con:213,243,258,
id:42;x:243;y:14;Con:159,219,
id:43;x:691;y:732;Con:14,101,277,
id:44;x:819;y:236;Con:59,174,210,296,
id:45;x:443;y:347;Con:20,79,106,223,289,
id:46;x:1411;y:124;Con:146,272,
id:47;x:743;y:432;Con:2,297,
id:48;x:577;y:874;Con:4,38,115,119,
id:49;x:451;y:438;Con:8,106,
id:50;x:345;y:97;Con:25,127,290,
id:51;x:471;y:917;Con:38,119,263,268,
id:52;x:292;y:344;Con:67,105,288,293,
id:53;x:1576;y:583;Con:104,238,
id:54;x:464;y:568;Con:5,98,204,226,
id:55;x:368;y:462;Con:5,106,288,
id:56;x:656;y:407;Con:2,177,184,
id:57;x:1554;y:770;Con:150,242,273,
id:58;x:1164;y:493;Con:17,94,
id:59;x:761;y:213;Con:44,144,174,183,
id:60;x:402;y:762;Con:18,122,143,295,
id:61;x:1305;y:40;Con:35,221,
id:62;x:655;y:915;Con:1,115,151,255,
id:63;x:247;y:568;Con:123,136,179,259,
id:64;x:739;y:568;Con:102,278,
id:65;x:1238;y:360;Con:28,228,276,
id:66;x:1455;y:770;Con:108,157,273,
id:67;x:251;y:380;Con:52,105,
id:68;x:1635;y:865;Con:150,161,209,
id:69;x:860;y:640;Con:190,
id:70;x:1380;y:866;Con:142,169,245,
id:71;x:119;y:812;Con:171,265,
id:72;x:138;y:945;Con:214,
id:73;x:372;y:887;Con:18,263,
id:74;x:1069;y:209;Con:86,93,222,
id:75;x:318;y:244;Con:200,290,293,
id:76;x:972;y:306;Con:86,279,
id:77;x:747;y:651;Con:190,206,277,
id:78;x:604;y:535;Con:6,177,226,249,
id:79;x:435;y:294;Con:45,223,
id:80;x:1617;y:226;Con:133,153,201,
id:81;x:1352;y:204;Con:112,146,272,
id:82;x:1654;y:778;Con:150,275,
id:83;x:1280;y:131;Con:146,
id:84;x:1162;y:989;Con:96,155,
id:85;x:557;y:178;Con:203,227,
id:86;x:1000;y:248;Con:74,76,222,
id:87;x:1216;y:680;Con:26,257,
id:88;x:49;y:868;Con:198,254,
id:89;x:1409;y:534;Con:12,124,260,261,
id:90;x:1496;y:337;Con:139,208,224,
id:91;x:28;y:378;Con:34,211,246,
id:92;x:1002;y:724;Con:188,256,286,298,
id:93;x:1123;y:149;Con:74,129,
id:94;x:1098;y:505;Con:58,116,248,
id:95;x:855;y:849;Con:244,284,
id:96;x:1098;y:972;Con:84,
id:97;x:1013;y:809;Con:188,
id:98;x:489;y:520;Con:8,54,226,
id:99;x:15;y:693;Con:168,
id:100;x:771;y:891;Con:7,255,
id:101;x:640;y:685;Con:0,43,206,237,
id:102;x:794;y:583;Con:64,195,
id:103;x:584;y:455;Con:8,21,177,
id:104;x:1574;y:652;Con:53,231,242,
id:105;x:280;y:421;Con:52,67,288,
id:106;x:418;y:400;Con:20,45,49,55,
id:107;x:855;y:403;Con:117,128,297,
id:108;x:1469;y:826;Con:30,66,
id:109;x:263;y:176;Con:125,200,290,
id:110;x:1173;y:832;Con:191,
id:111;x:1122;y:686;Con:256,257,
id:112;x:1370;y:258;Con:22,81,
id:113;x:1621;y:27;Con:40,
id:114;x:57;y:255;Con:34,156,213,258,
id:115;x:646;y:846;Con:4,14,48,62,
id:116;x:1115;y:560;Con:31,94,248,
id:117;x:912;y:406;Con:107,229,279,
id:118;x:1478;y:682;Con:157,236,273,
id:119;x:534;y:928;Con:48,51,
id:120;x:183;y:429;Con:220,
id:121;x:1247;y:992;Con:137,
id:122;x:459;y:704;Con:60,143,154,295,
id:123;x:191;y:568;Con:63,136,234,
id:124;x:1336;y:543;Con:29,89,261,
id:125;x:264;y:120;Con:109,159,
id:126;x:866;y:140;Con:174,296,
id:127;x:378;y:146;Con:50,240,290,
id:128;x:821;y:331;Con:107,210,297,
id:129;x:1188;y:103;Con:93,253,
id:130;x:907;y:768;Con:284,
id:131;x:257;y:711;Con:3,215,
id:132;x:1524;y:429;Con:208,283,299,
id:133;x:1624;y:157;Con:40,80,241,
id:134;x:53;y:128;Con:13,156,
id:135;x:1097;y:288;Con:39,170,194,
id:136;x:238;y:503;Con:63,123,179,220,
id:137;x:1270;y:934;Con:121,142,
id:138;x:355;y:582;Con:5,179,
id:139;x:1546;y:342;Con:90,292,299,
id:140;x:1039;y:892;Con:16,
id:141;x:992;y:523;Con:248,
id:142;x:1303;y:892;Con:70,137,
id:143;x:465;y:766;Con:60,122,154,250,
id:144;x:696;y:166;Con:59,185,232,
id:145;x:546;y:299;Con:184,223,227,289,
id:146;x:1336;y:143;Con:46,81,83,
id:147;x:1362;y:962;Con:245,
id:148;x:471;y:185;Con:203,240,
id:149;x:258;y:984;Con:214,
id:150;x:1609;y:807;Con:57,68,82,275,
id:151;x:630;y:969;Con:62,
id:152;x:87;y:642;Con:186,234,251,
id:153;x:1615;y:298;Con:80,201,292,
id:154;x:524;y:716;Con:122,143,196,237,250,
id:155;x:1176;y:927;Con:84,
id:156;x:40;y:187;Con:13,114,134,258,
id:157;x:1418;y:728;Con:66,118,247,
id:158;x:903;y:496;Con:182,195,
id:159;x:226;y:67;Con:42,125,
id:160;x:1519;y:35;Con:24,
id:161;x:1641;y:920;Con:68,209,270,
id:162;x:1058;y:427;Con:39,229,291,
id:163;x:955;y:6;Con:176,
id:164;x:955;y:597;Con:182,280,
id:165;x:130;y:85;Con:13,
id:166;x:83;y:495;Con:239,
id:167;x:230;y:841;Con:171,178,199,265,
id:168;x:63;y:730;Con:99,251,
id:169;x:1346;y:801;Con:70,205,247,
id:170;x:1144;y:314;Con:39,135,194,228,
